id_municipio,numero_obitos,numero_suicidios,populacao
1100015,64,2,29005
1100023,183,2,86924
1100031,20,0,7421
1100049,181,2,76422
1100056,59,1,17215
1100064,60,2,18342
1100072,11,0,9409
1100080,37,0,11735
1100098,40,0,27559
1100106,88,3,42082
1100114,118,1,56242
1100122,195,2,113453
1100130,81,2,29711
1100148,58,3,18005
1100155,67,1,40735
1100189,73,3,31415
1100205,391,9,380974
1100254,76,1,25313
1100262,5,0,3603
1100288,110,0,49907
1100296,23,1,11067
1100304,132,3,65807
1100320,41,2,31198
1100338,54,1,20343
1100346,49,1,19542
1100379,19,0,15454
1100403,40,0,16510
1100452,56,1,42717
1100502,23,1,12916
1100601,9,0,5464
1100700,19,0,18619
1100809,49,1,17346
1100908,10,0,4092
1100924,21,1,6649
1100940,21,0,9238
1101005,17,0,18786
1101104,15,0,8699
1101203,13,0,11223
1101302,39,1,14152
1101401,38,1,16881
1101435,19,0,9526
1101450,7,0,3204
1101468,4,0,2633
1101476,12,0,4393
1101484,10,0,7266
1101492,33,2,17610
1101500,30,0,16225
1101559,7,0,5894
1101609,23,2,14326
1101708,32,0,17761
1101757,19,0,10962
1101807,25,1,10442
1200013,33,0,11786
1200054,14,0,5153
1200104,46,0,18056
1200138,9,1,8751
1200179,21,0,7403
1200203,134,2,86725
1200252,40,0,14193
1200302,46,2,39365
1200328,11,0,4662
1200336,33,0,13116
1200344,19,0,7843
1200351,15,0,8482
1200385,43,2,17014
1200393,17,0,4851
1200401,337,2,314127
1200427,21,0,9989
1200435,11,0,3583
1200450,55,0,21000
1200500,72,1,33614
1200609,57,2,30711
1200708,50,0,13893
1200807,42,1,12335
1300029,17,0,14776
1300060,13,1,9150
1300086,10,0,6949
1300102,24,1,12990
1300144,40,1,19694
1300201,20,1,11523
1300300,35,0,29534
1300409,27,0,33633
1300508,26,0,27069
1300607,31,0,26737
1300631,16,0,13620
1300680,25,0,12617
1300706,35,1,28480
1300805,36,0,36793
1300839,6,0,10215
1300904,20,1,9723
1301001,48,0,26377
1301100,26,0,24499
1301159,23,0,16626
1301209,84,0,87468
1301308,24,0,20407
1301407,50,0,30125
1301506,35,0,13746
1301605,34,0,39144
1301654,13,0,12228
1301704,62,1,28498
1301803,15,0,17806
1301852,56,1,42812
1301902,107,0,81674
1301951,14,0,7919
1302009,9,0,8866
1302108,8,0,13096
1302207,16,1,7687
1302306,20,0,27955
1302405,36,0,26020
1302504,99,2,84656
1302553,15,0,14140
1302603,772,7,1688524
1302702,51,1,38168
1302801,18,0,20836
1302900,64,1,46873
1303007,8,0,16864
1303106,40,0,31450
1303205,22,0,6516
1303304,27,0,21051
1303403,123,1,112636
1303502,26,0,17131
1303536,43,1,24781
1303569,28,1,25513
1303601,35,2,7077
1303700,29,0,36098
1303809,95,1,34827
1303908,28,0,29916
1303957,16,0,9039
1304005,12,0,9278
1304062,80,1,45085
1304104,28,0,17160
1304203,94,1,71975
1304237,6,0,19439
1304260,14,1,13729
1304302,20,1,23422
1304401,15,0,8386
1400027,34,4,6229
1400050,62,1,22856
1400100,306,8,249655
1400159,46,2,13220
1400175,24,0,10826
1400209,44,0,18367
1400233,22,0,5901
1400282,23,0,6290
1400308,38,1,11722
1400407,25,1,5191
1400456,27,0,8435
1400472,47,0,25913
1400506,16,0,5494
1400605,13,1,6702
1400704,28,0,6543
1500107,167,0,133316
1500131,28,1,7131
1500206,65,1,63170
1500305,32,0,36524
1500347,26,0,33350
1500404,82,0,39697
1500503,60,0,34338
1500602,188,4,85649
1500701,36,1,21307
1500800,376,3,498095
1500859,37,1,6425
1500909,54,0,34998
1500958,34,0,25174
1501006,19,0,18949
1501105,18,0,13607
1501204,46,1,21893
1501253,15,3,3345
1501303,133,2,76071
1501402,753,10,1428368
1501451,19,0,17659
1501501,97,0,45774
1501576,26,0,14232
1501600,14,0,10762
1501709,129,0,103751
1501725,51,0,21386
1501758,20,1,8243
1501782,102,1,46250
1501808,108,2,86084
1501907,44,0,26143
1501956,24,0,20759
1502004,16,0,17658
1502103,147,2,106816
1502152,46,1,13870
1502202,103,1,61519
1502301,64,1,52960
1502400,223,5,158462
1502509,21,0,17313
1502608,24,0,12328
1502707,110,1,44375
1502756,30,0,25176
1502764,13,0,6207
1502772,53,1,13785
1502806,29,0,23573
1502855,9,0,9945
1502905,75,2,30343
1502939,91,1,50739
1502954,63,1,43013
1503002,14,0,15043
1503044,35,0,15342
1503077,30,0,26991
1503093,78,0,31293
1503101,13,0,26150
1503200,60,1,36164
1503309,83,0,60558
1503408,28,0,8430
1503457,47,0,36851
1503507,42,0,30080
1503606,133,1,96515
1503705,90,2,65229
1503754,17,0,34683
1503804,113,3,48368
1503903,23,0,37064
1504000,27,0,21847
1504059,67,0,22580
1504109,22,0,7961
1504208,274,5,200801
1504307,62,1,29046
1504406,45,1,28141
1504422,155,1,101356
1504455,56,0,22631
1504505,25,0,25887
1504604,55,1,22054
1504703,97,1,62223
1504802,98,0,69372
1504901,36,0,27758
1504950,16,0,27943
1504976,34,0,14348
1505007,38,0,12869
1505031,50,1,39245
1505064,110,4,51627
1505106,29,0,49582
1505205,57,0,26554
1505304,87,1,53999
1505403,38,0,15605
1505437,44,0,20054
1505486,91,3,31179
1505494,14,1,9033
1505502,142,4,88877
1505536,180,1,95225
1505551,15,1,8939
1505601,13,0,9086
1505635,20,1,14389
1505650,22,0,15614
1505700,31,0,20316
1505809,75,1,44393
1505908,27,0,29890
1506005,24,0,30278
1506104,16,0,11014
1506112,13,0,12189
1506138,128,2,72085
1506161,53,3,10818
1506187,100,1,46311
1506195,36,1,28497
1506203,52,0,41416
1506302,35,0,17505
1506351,44,1,13313
1506401,5,0,5611
1506500,104,1,50543
1506559,26,0,19818
1506583,16,0,13710
1506609,57,0,22996
1506708,72,1,42523
1506807,203,2,276074
1506906,17,0,6135
1507003,42,0,21836
1507102,30,0,14608
1507151,36,0,24230
1507201,58,2,32231
1507300,79,0,41813
1507409,38,0,16186
1507458,66,0,27242
1507466,15,0,3916
1507474,35,0,18389
1507508,21,1,17207
1507607,79,0,47599
1507706,28,0,19688
1507755,9,0,2752
1507805,26,1,10285
1507904,44,0,21789
1507953,117,2,53755
1507961,23,1,10468
1507979,21,1,17395
1508001,102,0,51612
1508035,46,0,27090
1508050,28,0,17892
1508084,76,0,20826
1508100,194,3,87602
1508126,54,1,27987
1508159,75,0,59881
1508209,80,0,42214
1508308,68,0,53607
1508357,13,0,10206
1508407,96,0,29606
1600055,6,0,4326
1600105,14,0,7465
1600154,12,0,5893
1600204,18,2,7878
1600212,15,0,4466
1600238,10,0,4458
1600253,6,0,4062
1600279,70,1,37194
1600303,295,5,368367
1600402,20,0,14259
1600501,30,0,16826
1600535,30,0,15328
1600550,5,0,2926
1600600,129,2,101864
1600709,11,0,8916
