id_municipio,numero_obitos
1600303,31
1600402,2
1600535,1
1200203,6
1200252,2
1200302,4
1200500,4
1200609,4
1100015,3
1100023,10
1100049,5
1100056,1
1100098,3
1100130,2
1100148,1
1100189,5
1100205,32
1100254,1
1100304,5
1100320,1
1100502,2
1100601,1
1100809,2
1100924,1
1101005,1
1101492,1
1101609,1
5001102,6
5002209,3
5002704,71
5002902,3
5003207,4
5003256,2
5003488,3
5004304,2
5004502,3
5004601,2
5004700,5
5005004,2
5005152,1
5005400,3
5005707,5
5005806,2
5006200,5
5006358,5
5006903,1
5007935,1
5007950,3
5008305,15
2200400,6
2200459,1
2200509,6
2200905,1
2201101,2
2201556,2
2201705,1
2201770,1
2201988,1
2202000,1
2202117,1
2202174,1
2202208,14
2202251,1
2202307,4
2202539,1
2202604,4
2202737,1
2202802,1
2203008,1
2203206,1
2203255,1
2203271,1
2203404,1
2203503,1
2203602,1
2203909,6
2204550,1
2204709,5
2205250,1
2205300,1
2205805,2
2205953,1
2206001,1
2206209,2
2206506,2
2206720,2
2206803,1
2207603,1
2207702,7
2207850,1
2207900,7
2207934,1
2208007,18
2208106,1
2208304,3
2208403,7
2208650,3
2208700,1
2209005,1
2209104,2
2209351,3
2209401,1
2209807,2
2209872,1
2209906,2
2209955,1
2209971,1
2210052,1
2210201,3
2210409,3
2210607,6
2210623,1
2210706,1
2210904,1
2211506,1
3200102,5
3200201,1
3200300,1
3200607,3
3200805,4
3201001,1
3201704,1
3201902,1
3202306,3
3202454,3
3202504,1
3202603,1
3202652,1
3202801,1
3203007,3
3203056,3
3203163,1
3203700,2
3204005,1
3204559,9
3204906,3
3205010,3
3205036,1
3205069,5
3205150,1
3205200,15
1300029,1
1300144,2
1300201,4
1300508,1
1300706,2
1301407,7
1301605,1
1301704,2
1301803,2
1301852,1
1302306,2
1302603,90
1303106,2
1303601,1
1303700,6
1303908,1
1304062,14
1304104,2
1304203,3
1304302,1
2500106,1
2500601,2
2500734,1
2500809,2
2501005,3
2501351,1
2501575,1
2501807,4
2502003,2
2502102,1
2502201,1
2503209,4
2503308,2
2503753,1
2503803,2
2503902,2
2504405,1
2504504,2
2505006,2
2505238,3
2506202,1
2506301,4
2506608,1
2507002,2
2507101,2
2507507,34
2507705,3
2508109,1
2508307,2
2508901,2
2510204,4
2510808,16
2510907,1
2511103,1
2511202,1
2511301,2
2511707,1
2512101,3
2513901,3
2513984,2
2514008,2
2514305,2
2514503,4
2515104,1
2515302,7
2515500,1
2515609,1
2516201,7
2516508,2
2100055,3
2100501,1
2100808,1
2101202,3
2101301,1
2102002,2
2102077,1
2102200,2
2102325,1
2102408,1
2102556,1
2102903,1
2103000,11
2103109,1
2103208,1
2103406,1
2103604,3
2103703,1
2104008,3
2104057,1
2104073,2
2104099,2
2104206,1
2104552,1
2104651,1
2104800,6
2105302,20
2105401,3
2105450,1
2105476,2
2105609,3
2105708,2
2105906,1
2105948,1
2106375,2
2106508,1
2106607,2
2106755,1
2107001,3
2107308,1
2107357,2
2107456,1
2107506,5
2107605,2
2107704,5
2108306,1
2108603,2
2108801,1
2109502,4
2109809,4
2109908,4
2110005,2
2110203,1
2111078,1
2111102,4
2111300,38
2111508,2
2111763,1
2112100,1
2112308,1
2112605,2
2112803,1
2112902,3
2113009,5
1400472,1
1400704,2
2700300,12
2700607,1
2700706,1
2700805,1
2701308,1
2701506,2
2702405,2
2702603,1
2702801,1
2702900,5
2704005,3
2704302,24
2704708,2
2705101,1
2705705,1
2705804,1
2706307,4
2706448,2
2706703,2
2707107,2
2707503,1
2707701,3
2708600,3
2708808,2
2708907,1
2709152,1
2400208,2
2400406,1
2401008,6
2401107,1
2401305,3
2402303,7
2402808,1
2403509,1
2403608,1
2403905,1
2404309,1
2404705,1
2405009,1
2406502,1
2407005,1
2407203,3
2408003,18
2408102,28
2408805,1
2408904,3
2408953,1
2409209,1
2409308,4
2409407,5
2410207,1
2412104,1
2412500,3
2412708,1
2413300,1
2413409,2
2414001,1
2414100,1
2414506,1
2800605,1
2801009,2
2801207,2
2801306,3
2801405,2
2802106,3
2803203,1
2803302,1
2803401,2
2803708,2
2804458,1
2804508,3
2804706,1
2804904,3
2805307,1
2805505,2
2806701,4
2807402,3
2807600,1
1701002,3
1701101,2
1701309,2
1702109,14
1702406,2
1706506,1
1707009,3
1708205,2
1709005,1
1710706,1
1713205,1
1713957,1
1715101,1
1715754,2
1716109,9
1716505,2
1716604,2
1720002,1
1720499,1
1721208,2
2300200,9
2300309,2
2300408,2
2300606,1
2300804,1
2301000,4
2301109,4
2301950,2
2302404,4
2302503,2
2302602,3
2303501,3
2303659,2
2304004,1
2304103,7
2304236,3
2304251,2
2304269,3
2304277,1
2304285,5
2304400,146
2304459,3
2305209,3
2305233,10
2305266,1
2305357,2
2305407,6
2305506,5
2305902,2
2306009,1
2306306,6
2306405,6
2306702,1
2306900,3
2307007,1
2307106,1
2307502,1
2307601,6
2307635,3
2307650,21
2307700,7
2307809,1
2307908,1
2308005,4
2308302,1
2308401,5
2308500,2
2308906,1
2309003,1
2309458,1
2309508,1
2310001,4
2310100,2
2310308,6
2310704,5
2310803,7
2310951,1
2311264,3
2311306,6
2311405,8
2311603,2
2311801,3
2311900,1
2311959,3
2312205,3
2312304,4
2312601,2
2312700,7
2313302,8
2313401,4
2313609,1
2313955,1
2314102,9
2600054,4
2601102,5
2601706,6
2601904,4
2602209,1
2602803,4
2604007,2
2604205,1
2604601,1
2604809,1
2605103,1
2605202,2
2605509,2
2605608,4
2605707,1
2606002,8
2606408,6
2606507,2
2606606,1
2606804,2
2607653,2
2607703,3
2607950,2
2608206,2
2608305,2
2608404,2
2608701,1
2608750,2
2608800,2
2608909,3
2609600,19
2609907,6
2610004,5
2610509,2
2610608,1
2611002,1
2611804,1
2612208,5
2612406,2
2612554,1
2612901,1
2613107,1
2613800,1
2613909,5
2614105,4
2614600,2
2615003,1
2615102,2
2615409,1
2615607,1
2615805,1
2615904,1
2616100,2
2616308,1
2616407,7
1500107,2
1500206,1
1500503,3
1500602,10
1500800,14
1500958,1
1501303,4
1501501,1
1501709,2
1502103,6
1502152,2
1502707,3
1502806,1
1502954,4
1503044,2
1503457,1
1503507,1
1503903,3
1504208,17
1504406,2
1504422,3
1504455,1
1504604,3
1504950,4
1505007,1
1505031,3
1505064,3
1505106,1
1505304,1
1505486,1
1505494,1
1505536,10
1505601,1
1506500,5
1507151,1
1507458,1
1507474,1
1507607,3
1507953,5
1508035,2
1508084,1
1508100,3
1508126,2
5200050,2
5200100,1
5200134,1
5200175,1
5200308,1
5200506,2
5200852,1
5201108,25
5201207,1
5201405,32
5202155,2
5202502,1
5203401,2
5203807,1
5203906,2
5204102,1
5204250,1
5204409,1
5204557,1
5204904,2
5204953,2
5205059,1
5205109,7
5205406,2
5205497,1
5205513,2
5205521,1
5206206,1
5207105,1
5207600,2
5207907,2
5208004,2
5208400,1
5208608,6
5208707,97
5209101,2
5209705,5
5210000,1
5210158,1
5210307,1
5210406,8
5210901,5
5211305,1
5211503,10
5211909,6
5212204,2
5212501,10
5213103,7
5213707,1
5213772,1
5213806,4
5213855,1
5214051,3
5214705,1
5215009,1
5215207,1
5215231,9
5215256,1
5215504,2
5215702,4
5216452,1
5217302,1
5217401,1
5217708,1
5218102,1
5218508,4
5218607,2
5218706,1
5218805,13
5219506,2
5220108,6
5220207,7
5220603,1
5220686,1
5221080,1
5221403,10
5222005,1
4200101,4
4200200,2
4200309,2
4200903,1
4201406,13
4201604,2
4201802,1
4201901,1
4201950,2
4202008,8
4202057,1
4202081,1
4202305,7
4202438,1
4202602,2
4202800,12
4202859,1
4202909,7
4203154,1
4203204,4
4203303,1
4203600,9
4203709,1
4203808,3
4203956,4
4204350,2
4204558,1
4204608,27
4204806,6
4205209,1
4205308,2
4205456,2
4205704,4
4206009,1
4206207,3
4206652,1
4206801,2
4206900,6
4207007,6
4207106,2
4207205,1
4207502,9
4207809,2
4207908,1
4208005,2
4208104,5
4208203,20
4208401,1
4208807,1
4208906,15
4209003,2
4209102,52
4209151,1
4209409,3
4209607,3
4209904,4
4210100,6
4210209,1
4210308,5
4210407,1
4210506,2
4211009,5
4211256,1
4211603,2
4211702,3
4211751,2
4211850,2
4211900,13
4212007,4
4212106,8
4212254,2
4212700,2
4212809,2
4213153,1
4213203,6
4213500,1
4213906,1
4214201,1
4214607,1
4214706,3
4214805,6
4215000,7
4215356,1
4215505,1
4215695,1
4215703,2
4215901,1
4216057,1
4216107,1
4216206,1
4217006,1
4217204,3
4217402,1
4218103,1
4218202,1
4218509,1
4218608,2
4218756,1
4219002,1
4219200,1
4219309,5
4219408,1
4219507,7
4219853,1
4100103,2
4100509,1
4101804,15
4101903,2
4102406,1
4102505,3
4102752,1
4102901,2
4103040,2
4103057,3
4103354,1
4103370,1
4103404,1
4103453,2
4104006,1
4104105,1
4104402,2
4104451,6
4104600,2
4104907,4
4105102,1
4105607,2
4105805,9
4105904,1
4106100,1
4106407,3
4106803,2
4106902,94
4107207,4
4107546,2
4107553,1
4107603,3
4107652,8
4107702,1
4108205,1
4108403,15
4108700,2
4108908,1
4108957,2
4109005,2
4109203,1
4109302,3
4109401,18
4109609,5
4109807,2
4110052,1
4110078,1
4110201,3
4110508,1
4110607,1
4110706,6
4110805,2
4110953,1
4111258,3
4111506,3
4111803,3
4112009,3
4112108,4
4112207,1
4112702,1
4112801,2
4113205,3
4113429,1
4113908,3
4114302,1
4114351,1
4114708,1
4115408,1
4115705,4
4115804,8
4117206,1
4117602,4
4118006,2
4118204,2
4118501,12
4119152,4
4119301,4
4119806,3
4119905,19
4119954,1
4120150,1
4120358,1
4120606,7
4120705,1
4120804,1
4121000,1
4121208,1
4121307,1
4121406,2
4121604,2
4121703,4
4122107,1
4122206,1
4122305,1
4123402,1
4123857,2
4124004,1
4124053,1
